route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
L1,Feiners-26,Fein26_1201_18,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1201_01,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1201_21,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1201_22,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1201_25,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1201_26,Ramon Folch,Destí Av. Ramon Folch,L1-202,1,1
L1,Feiners-26,Fein26_1201_02,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1201_05,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1201_06,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1201_09,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1202_10,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1202_11,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1202_14,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1202_15,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1202_18,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1202_19,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1202_22,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1202_23,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1202_26,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1202_02,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1202_03,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1202_06,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1202_07,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1203_11,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1203_12,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1203_15,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1203_16,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1203_19,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1203_20,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1203_23,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1203_24,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1203_27,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1203_03,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1203_04,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1203_07,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1203_08,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1204_11,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1204_12,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1204_15,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1204_16,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1204_19,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1204_20,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1204_23,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1204_24,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1204_27,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1204_03,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1204_04,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1204_07,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1204_08,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1205_11,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1205_12,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1205_15,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1205_16,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1205_19,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1205_20,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1205_23,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1205_24,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1205_27,Ramon Folch,Destí Av. Ramon Folch,L1-201,1,1
L1,Feiners-26,Fein26_1205_03,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1205_04,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1205_07,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1205_08,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_12,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1206_13,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1206_16,Montjuic,Destí Montjuic,L1-301,1,1
